,Open,High,Low,Close,Adj Close,Volume,Return
count,2523.0,2523.0,2523.0,2523.0,2523.0,2523.0,2523.0
mean,7000.2552909715,7040.896597978287,6959.017244088758,7000.634402752489,7000.634402752489,793405280.657947,0.00010571911103837573
std,534.9165687511966,526.7572972455108,543.9019505823012,535.0934597720282,535.0934597720282,266973704.33290064,0.009970277339748477
min,4993.89990234375,5181.0,4898.7998046875,4993.89990234375,4993.89990234375,8378200.0,-0.10873819450353106
25%,6689.85009765625,6727.199951171875,6654.550048828125,6689.85009765625,6689.85009765625,642382300.0,-0.004465392094922915
50%,7105.2998046875,7145.7001953125,7066.2001953125,7105.7001953125,7105.7001953125,749899600.0,0.0005610806336293628
75%,7425.60009765625,7460.75,7387.050048828125,7425.60009765625,7425.60009765625,876422200.0,0.004985631714032324
max,8014.2998046875,8047.10009765625,7995.5,8014.2998046875,8014.2998046875,3761301300.0,0.0905304684709578
